tool,config,run,search_latency_ms,throughput_qps,gpu_mem_gb
Pinecone,exact,1,45.2,1128,0.8
Pinecone,exact,2,47.1,1105,0.8
Pinecone,exact,3,48.5,1150,0.9
Pinecone,exact,4,46.3,1098,0.8
Pinecone,exact,5,44.8,1142,0.8
Pinecone,exact,6,47.9,1110,0.9
Pinecone,exact,7,68.2,1075,0.8
Pinecone,exact,8,45.6,1138,0.8
Pinecone,exact,9,46.7,1122,0.8
Pinecone,exact,10,47.0,1115,0.8
Weaviate,exact,1,61.3,985,0.9
Weaviate,exact,2,63.8,962,0.9
Weaviate,exact,3,62.1,978,0.9
Weaviate,exact,4,60.9,992,0.9
Weaviate,exact,5,64.5,971,0.9
Weaviate,exact,6,62.7,983,0.9
Weaviate,exact,7,74.1,940,1.0
Weaviate,exact,8,61.5,989,0.9
Weaviate,exact,9,63.2,976,0.9
Weaviate,exact,10,62.0,987,0.9
